START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/27/22,07:07 PM,07:07 PM,Cardinals at Blue Jays,Rogers Centre - Toronto,"",07/27/22,07/27/22,10:07 PM,10:07 PM,FALSE,TRUE,07/27/22,06:07 PM,06:07 PM,FREE,BUSY
07/28/22,07:07 PM,07:07 PM,Tigers at Blue Jays,Rogers Centre - Toronto,"",07/28/22,07/28/22,10:07 PM,10:07 PM,FALSE,TRUE,07/28/22,06:07 PM,06:07 PM,FREE,BUSY
07/29/22,07:07 PM,07:07 PM,Tigers at Blue Jays,Rogers Centre - Toronto,"",07/29/22,07/29/22,10:07 PM,10:07 PM,FALSE,TRUE,07/29/22,06:07 PM,06:07 PM,FREE,BUSY
07/30/22,03:07 PM,03:07 PM,Tigers at Blue Jays,Rogers Centre - Toronto,"",07/30/22,07/30/22,06:07 PM,06:07 PM,FALSE,TRUE,07/30/22,02:07 PM,02:07 PM,FREE,BUSY
07/31/22,12:05 PM,12:05 PM,Tigers at Blue Jays,Rogers Centre - Toronto,"",07/31/22,07/31/22,03:05 PM,03:05 PM,FALSE,TRUE,07/31/22,11:05 AM,11:05 AM,FREE,BUSY
08/02/22,07:10 PM,07:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"",08/02/22,08/02/22,10:10 PM,10:10 PM,FALSE,TRUE,08/02/22,06:10 PM,06:10 PM,FREE,BUSY
08/03/22,12:10 PM,12:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"",08/03/22,08/03/22,03:10 PM,03:10 PM,FALSE,TRUE,08/03/22,11:10 AM,11:10 AM,FREE,BUSY
08/04/22,07:40 PM,07:40 PM,Blue Jays at Twins,Target Field - Minneapolis,"",08/04/22,08/04/22,10:40 PM,10:40 PM,FALSE,TRUE,08/04/22,06:40 PM,06:40 PM,FREE,BUSY
08/05/22,08:10 PM,08:10 PM,Blue Jays at Twins,Target Field - Minneapolis,"",08/05/22,08/05/22,11:10 PM,11:10 PM,FALSE,TRUE,08/05/22,07:10 PM,07:10 PM,FREE,BUSY
08/06/22,07:10 PM,07:10 PM,Blue Jays at Twins,Target Field - Minneapolis,"",08/06/22,08/06/22,10:10 PM,10:10 PM,FALSE,TRUE,08/06/22,06:10 PM,06:10 PM,FREE,BUSY
08/07/22,02:10 PM,02:10 PM,Blue Jays at Twins,Target Field - Minneapolis,"",08/07/22,08/07/22,05:10 PM,05:10 PM,FALSE,TRUE,08/07/22,01:10 PM,01:10 PM,FREE,BUSY
08/08/22,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"",08/08/22,08/08/22,10:05 PM,10:05 PM,FALSE,TRUE,08/08/22,06:05 PM,06:05 PM,FREE,BUSY
08/09/22,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"",08/09/22,08/09/22,10:05 PM,10:05 PM,FALSE,TRUE,08/09/22,06:05 PM,06:05 PM,FREE,BUSY
08/10/22,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"",08/10/22,08/10/22,10:05 PM,10:05 PM,FALSE,TRUE,08/10/22,06:05 PM,06:05 PM,FREE,BUSY
08/12/22,07:07 PM,07:07 PM,Guardians at Blue Jays,Rogers Centre - Toronto,"Local Radio: SN590",08/12/22,08/12/22,10:07 PM,10:07 PM,FALSE,TRUE,08/12/22,06:07 PM,06:07 PM,FREE,BUSY
08/13/22,03:07 PM,03:07 PM,Guardians at Blue Jays,Rogers Centre - Toronto,"Local Radio: SN590",08/13/22,08/13/22,06:07 PM,06:07 PM,FALSE,TRUE,08/13/22,02:07 PM,02:07 PM,FREE,BUSY
08/14/22,01:37 PM,01:37 PM,Guardians at Blue Jays,Rogers Centre - Toronto,"Local Radio: SN590",08/14/22,08/14/22,04:37 PM,04:37 PM,FALSE,TRUE,08/14/22,12:37 PM,12:37 PM,FREE,BUSY
08/15/22,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",08/15/22,08/15/22,10:07 PM,10:07 PM,FALSE,TRUE,08/15/22,06:07 PM,06:07 PM,FREE,BUSY
